bodyId,type,instance,superclass,subclass,somaSide,rootSide,somaNeuromere,exitNerve,mancBodyid,mancType,flywireType,status,statusLabel,literature_muscle,literature_action,literature_sources,muscle_bridge_status,limits
10047,MNx02,MNx02_L,cb_motor,pm,L,,,PhN,,,CB0904,Traced,Roughly traced,unassigned,口器/咽頭関連注釈のみ。具体的筋/作用未同定,GUS26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
10156,CvN6,CvN6_R,cb_motor,nm,R,,,CvN,,,CB0916,Traced,Roughly traced,VL1 (ventral longitudinal neck muscle),頭部姿勢調整。各型の固定yaw/pitch/roll作用は割り当てない。個別回転軸はGOR24 Fig4i参照,GOR24,exact_type_label_bridge,GOR24 Fig4hでCvN4はVL2のみ、CvN5-8はVL1。固定方向の筋写像ではない。型名照合であり現在のMaleCNS活動ではない。
10331,MN9,MN9_L,cb_motor,pm,L,,,PhN,,,CB0701,Traced,Roughly traced,m9,rostrumを頭部外へ突出（腹側へ）。haustellum伸展との連動,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
10383,PS349,PS349_R,cb_motor,rm,R,,,AN,,,CB0804,Traced,Roughly traced,unassigned,網膜注釈のみ。具体的筋/作用未同定,FEN22,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
10418,GNG649,GNG649_R,cb_motor,am,R,,,AN,,,CB0886,Traced,Roughly traced,unassigned,触角注釈のみ。具体的筋/作用未同定,SUV23;OZD26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
10538,MN2Db,MN2Db_R,cb_motor,pm,R,,,MxLbN,,,CB0861,Traced,Prelim Roughly traced,m2D candidate,補助rostrum退縮の亜型候補,MCK20;GUS26,candidate_subtype,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
10554,GNG648,GNG648_R,cb_motor,nm,R,,LB,CvN,,,CB0913,Traced,Roughly traced,unassigned,頸部注釈のみ。具体的筋/作用未同定,GOR24;BANC26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
10619,MN12D,MN12D_R,cb_motor,pm,R,,,PhN,,,CB0914/CB0915,Traced,Prelim Roughly traced,m12D (pharyngeal musculature),咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,MCK20,exact_type_label_bridge,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。
10627,CvN5,CvN5_R,cb_motor,nm,R,,LB,CvN,,,CB0838,Traced,Roughly traced,VL1 (ventral longitudinal neck muscle),頭部姿勢調整。各型の固定yaw/pitch/roll作用は割り当てない。個別回転軸はGOR24 Fig4i参照,GOR24,exact_type_label_bridge,GOR24 Fig4hでCvN4はVL2のみ、CvN5-8はVL1。固定方向の筋写像ではない。型名照合であり現在のMaleCNS活動ではない。
10699,GNG648,GNG648_L,cb_motor,nm,L,,LB,CvN,,,CB0913,Traced,Roughly traced,unassigned,頸部注釈のみ。具体的筋/作用未同定,GOR24;BANC26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
